Reksadana,Jenis,Resiko,Price,1M,1Y,3Y,AUM/VAL
Arwana Citramulia,Saham,Tiggi,Rp755,-3.25,4.93,-12.35,"2,17M"
Dyandra Media,Saham,Tiggi,Rp97,-16.67,7.95,13.1,"4,47M"
Indofood,Saham,Tiggi,Rp7.800,-5.60,12.38,30.75,"5,83M"
Intanwijaya,Saham,Tiggi,Rp585,-12.12,16.00,-36.26,"4,4K"
Atlas Resources,Saham,Tiggi,Rp242,-6.98,-0.83,-17.24,"42,3K"
Multipolar,Saham,Tiggi,Rp144,3.65,9.94,-65.39,"140,52M"
Baramulti Suksessarana,Saham,Tiggi,Rp4.270,-7.64,11.61,36.01,306K
Metrodata Electronics,Saham,Tiggi,Rp640,7.9,2.40,-29.28,"886,3K"
Bank Maspion Indonesia,Saham,Tiggi,Rp635,-23.64,-4.55,-33.78,137K
Indo Kordsa,Saham,Tiggi,Rp6.600,10.17,11.11,-18.5,"39,9K"
Supreme Cable,Saham,Tiggi,Rp2.230,0.00,6.67,-78.6,20K
Logindo Samudramakmur,Saham,Tiggi,Rp122,2.94,-2.78,-41.18,"4,72M"
Colorpak Indonesia,Saham,Tiggi,Rp1.070,-9.3,5.47,2.42,"44,8K"
Bank Central Asia,Saham,Tiggi,Rp10.150,-5.62,14.81,35.69,"58,58M"
Intermedia Capital,Saham,Tiggi,Rp10,-3.36,3.60,-10.85,0
Medco Energi,Saham,Tiggi,Rp1.150,-3.8,3.92,11.81,"32,23M"
Abm Investama,Saham,Tiggi,Rp3.700,-12.96,4.71,151.59,"536,4K"
Asuransi Dayin Mitra,Saham,Tiggi,Rp498,-2.00,-2.97,-48.42,"6,5K"
Indocement Tunggal,Saham,Tiggi,Rp7.050,3.19,4.30,32.34,"201,3K"
Surya Toto Indonesia,Saham,Tiggi,Rp238,6.31,-1.67,11.32,"1,36M"
Harta Aman Pratama,Saham,Tiggi,Rp101,-6.80,-4.95,74.28,"10,1M"
Minna Padi Investama,Saham,Tiggi,Rp10,11.64,-4.68,9.4,"967,3K"
Bank Mandiri Persero,Saham,Tiggi,Rp6.350,-13.54,5.96,71.72,"68,71M"
Midi Utama Indonesia,Saham,Tiggi,Rp424,-7.59,7.81,0,"3,89M"
Erajaya Swasembada,Saham,Tiggi,Rp444,-3.96,24.57,-32.92,"4,09M"
Bank Tabungan Negara,Saham,Tiggi,Rp1.295,-14.77,0.79,-26.62,"10,59M"
Bank Windu,Saham,Tiggi,Rp80,1.28,0.00,-39.23,"3,37M"
Tigaraksa Satria,Saham,Tiggi,Rp6.500,-3.70,-2.62,-7.14,2K
Akasha Wira,Saham,Tiggi,Rp9.950,-13.59,08.08,239.16,"128,8K"
Buana Finance,Saham,Tiggi,Rp725,-3.65,-15.92,62.56,"33,2K"
Jakarta Kyoei,Saham,Tiggi,Rp60,0.00,0.00,0,0
Limas Indonesia Makmur,Saham,Tiggi,Rp50,0.00,0.00,-46.81,0
Onix Capital,Saham,Tiggi,Rp159,0.00,0.00,0,0
Panasia Indo Resources,Saham,Tiggi,Rp120,0.00,0.00,0,0
Smr Utama,Saham,Tiggi,Rp50,0.00,0.00,0,0
Trikomsel Oke,Saham,Tiggi,Rp426,0.00,0.00,0,0
Bakrie Telecom,Saham,Tiggi,Rp50,0.00,0.00,0,0
Bank Ina Perdana,Saham,Tiggi,Rp4.100,-1.21,-1.92,12.05,53K
Bukit Uluwatu Villa,Saham,Tiggi,Rp66,8.93,22.00,1.67,"1,07M"
Capitol Nusantara,Saham,Tiggi,Rp50,6.38,-3.85,-75.25,"20,6K"
Cowell Development,Saham,Tiggi,Rp50,0.00,0.00,0,0
Eureka Prima Jakarta,Saham,Tiggi,Rp117,0.00,0.00,0,0
Fortune Indonesia,Saham,Tiggi,Rp4.790,35.82,0.00,0,"239,8K"
Aksara Global Development Tbk PT,Saham,Tiggi,Rp18,0.00,0.00,-64,0
Grand Kartech,Saham,Tiggi,Rp436,0.00,0.00,0,0
Hanson,Saham,Tiggi,Rp50,0.00,0.00,0,0
Harum Energy,Saham,Tiggi,Rp1.185,0.00,0.00,0,"5,44M"
Hotel Sahid Jaya,Saham,Tiggi,Rp950,0.00,0.00,0,"9,5K"
PT MNC Energy Investments Tbk,Saham,Tiggi,Rp44,110.07,0.00,0,"641,6K"
Jaya Real Property,Saham,Tiggi,Rp650,-8.25,2.30,-32.58,502K
Kimia Farma Persero,Saham,Tiggi,Rp640,0.00,0.00,0,"503,9K"
Modernland Realty Ltd,Saham,Tiggi,Rp59,-25.00,0.00,-88,"13,38M"
Multi Bintang Ind,Saham,Tiggi,Rp6.600,0.00,0.00,0,"51,4K"
Multistrada Arah Sarana,Saham,Tiggi,Rp6.200,74.10,0.00,591.43,0
Lotte Chemical Titan PT,Saham,Tiggi,Rp198,-6.67,0.00,-15.52,"737,2K"
Bank Capital Indonesia,Saham,Tiggi,Rp131,-5.76,0.77,-56.62,"643,2K"
Alam Sutera Realty,Saham,Tiggi,Rp166,-31.93,-2.99,-11.96,"46,18M"
Media Nusantara Citra,Saham,Tiggi,Rp304,-13.64,0.00,113.08,"14,52M"
Austindo Nusantara Jaya,Saham,Tiggi,Rp740,2.80,02.08,-25,"264,5K"
Bank Mnc Internasional,Saham,Tiggi,Rp61,-13.24,-3.28,-72.94,"11,91M"
Astra Otoparts,Saham,Tiggi,Rp2.350,-2.93,-15.02,76.43,"1,01M"
Central Proteina,Saham,Tiggi,Rp50,0.00,-5.66,-60.32,"2,55M"
Darya-Varia,Saham,Tiggi,Rp1.635,-4.68,-3.26,-33.47,"21,5K"
Astra Graphia,Saham,Tiggi,Rp880,1.16,-5.41,10.76,"1,15M"
Millennium Pharma,Saham,Tiggi,Rp183,-9.09,-7.89,103.88,"36,82M"
Bank Mestika Dharma,Saham,Tiggi,Rp1.990,-2.50,1.56,-5.34,"34,1K"
Indo Acidatama,Saham,Tiggi,Rp51,-17.70,-7.00,-18.66,"304,2K"
Visi Telekomunikasi,Saham,Tiggi,Rp318,-4.79,-3.47,-30.5,"363,9K"
Plaza Indonesia Realty,Saham,Tiggi,Rp2.600,-1.89,-9.72,6.12,200
Bakrie & Brothers,Saham,Tiggi,Rp49,17.07,-4.00,-4,"2,37M"
Bank Victoria,Saham,Tiggi,Rp97,-1.04,5.56,-46.02,"9,01M"
Lionmesh Prima,Saham,Tiggi,Rp420,11.11,-6.67,-40.85,0
Adira Dinamika,Saham,Tiggi,Rp10.525,-6.08,-1.88,32.38,"129,2K"
Pelayaran Nelly,Saham,Tiggi,Rp466,8.7,-7.60,68.61,"1,47M"
Fajar Surya Wisesa,Saham,Tiggi,Rp5.500,-6.78,-5.58,-27.63,100
Graha Layar Prima,Saham,Tiggi,Rp2.000,-4.76,-4.31,-37.5,0
Tifico Fiber Indonesia,Saham,Tiggi,Rp635,0.00,-5.22,-7.97,0
Arita Prima Indonesia,Saham,Tiggi,Rp177,-5.6,-8.76,-4.84,500
Duta Pertiwi,Saham,Tiggi,Rp4.370,-6.8,-2.46,30.45,300
Bank Panin Syariah,Saham,Tiggi,Rp52,-7.27,-8.93,-44.57,"12,34M"
Bank Mega,Saham,Tiggi,Rp4.810,-3.61,-9.67,-2.88,400
Mitrabahtera Segara,Saham,Tiggi,Rp1.135,-4.35,-2.46,17.86,"1,02M"
Bukit Darmo,Saham,Tiggi,Rp48,-4.00,-20.00,-5.88,"67,4K"
Charoen Pokphand Indonesia,Saham,Tiggi,Rp4.800,-6.73,-12.78,-20.84,"2,7M"
Jasuindo Tiga Perkasa,Saham,Tiggi,Rp228,-5.59,-2.56,8.57,"17,7M"
Bayu Buana,Saham,Tiggi,Rp1.390,-3.14,-6.71,18.8,"263,7K"
Bumi Serpong Damai,Saham,Tiggi,Rp1.030,-20.47,-2.42,-14.77,"7,67M"
Metropolitan Kentjana,Saham,Tiggi,Rp26.000,-4.78,-12.78,02.01,18K
Enseval Putra,Saham,Tiggi,Rp2.420,-2.43,-7.66,-5.49,"32,7K"
Jembo Cable Company,Saham,Tiggi,Rp615,0.00,-10.96,32.65,16K
Ciputra Dev,Saham,Tiggi,Rp1.110,-19.93,-3.12,-6.47,"10,06M"
Trans Power Marine,Saham,Tiggi,Rp670,-9.72,-0.76,61.69,"4,72M"
Asuransi Ramayana,Saham,Tiggi,Rp370,-4.76,-12.46,-78.05,"10,8K"
Ever Shine Textile,Saham,Tiggi,Rp47,-11.54,-8.00,-71.07,"84,2K"
Adi Sarana Armada,Saham,Tiggi,Rp730,-8.23,-16.18,-79.86,"2,75M"
Kedawung Setia,Saham,Tiggi,Rp420,-11.75,-8.72,-8.15,"13,4K"
Bank Danamon,Saham,Tiggi,Rp2.570,-3.82,-8.36,1.61,"1,21M"
Bayan Resources,Saham,Tiggi,Rp18.000,4.80,-8.16,592.31,"19,3K"
Ekadharma,Saham,Tiggi,Rp224,-2.61,-9.68,-24.83,"409,3K"
Bank Negar,Saham,Tiggi,Rp4.900,-13.78,-4.43,-30.96,"24,69M"
Intikeramik Alamasri,Saham,Tiggi,Rp11,1.00,-9.82,-39.88,"717,7K"
Akr Corporindo,Saham,Tiggi,Rp1.340,-7.96,-8.59,59.09,"4,28M"
Lautan Luas,Saham,Tiggi,Rp1.010,-13.04,-15.25,-48.19,"152,7K"
Bank Maybank Indonesia,Saham,Tiggi,Rp220,-5.22,-11.38,-44.67,169K
Asiaplast Industries,Saham,Tiggi,Rp550,-8.47,2.86,170,2K
PT Temas Tbk,Saham,Tiggi,Rp144,-5.41,-8.50,83.01,"5,47M"
Betonjaya Manunggal,Saham,Tiggi,Rp400,-2.93,-9.13,-2.93,"13,7K"
Mitra Int,Saham,Tiggi,Rp8,-7.78,-2.74,93.94,"140,6K"
Solusi Bangun Indonesia,Saham,Tiggi,Rp745,-15.79,-10.70,5.96,"23,6K"
Mnc Investama,Saham,Tiggi,Rp39,-15.29,-11.84,27.81,"1,28M"
Bank Nationalnobu,Saham,Tiggi,Rp685,-7.69,-13.73,-25.84,"1,44M"
Matahari,Saham,Tiggi,Rp1.460,-16.04,-22.61,-39.04,"1,05M"
Mulia Industrindo,Saham,Tiggi,Rp322,3.77,-15.38,7.84,"3,35M"
Astra International,Saham,Tiggi,Rp5.025,-1.96,-13.42,-19.68,"18,63M"
Hero Supermarket,Saham,Tiggi,Rp600,-10.61,-16.90,-33.89,"59,4K"
Astra Agro Lestari,Saham,Tiggi,Rp6.275,-7.81,-11.74,-40.53,"955,4K"
Bank Tabungan,Saham,Tiggi,Rp2.300,-1.71,-12.64,-15.13,"19,7K"
Indah Kiat Pulp & Paper,Saham,Tiggi,Rp7.200,4.76,-12.00,-41.56,"1,62M"
Bank Bumi Arta,Saham,Tiggi,Rp700,-11.49,-9.66,-78.38,"319,6K"
Prasidha Aneka Niaga,Saham,Tiggi,Rp81,-5.95,-44.76,-54.34,"117,1K"
Samudera Indonesia,Saham,Tiggi,Rp292,-17.16,-6.67,48.94,"12,25M"
Lippo General Insurance,Saham,Tiggi,Rp364,-16.17,-11.95,-49.46,"282,5K"
Kedaung Indah Can,Saham,Tiggi,Rp122,-22.37,-12.59,-67.04,"324,5K"
Equity Dev Inv,Saham,Tiggi,Rp55,-13.11,-17.19,-69.65,"198,8K"
Bumi Citra Permai,Saham,Tiggi,Rp54,-18.75,-16.13,-60.31,"2,28M"
Quantum Clovera Investama Tbk PT,Saham,Tiggi,Rp6,-26.79,-26.79,-76.57,"2,31M"
Bank Qnb Indonesia,Saham,Tiggi,Rp72,-4.11,-13.58,-63.73,"958,8K"
Bank Pembangunan Timur,Saham,Tiggi,Rp545,-5.26,-12.90,-28.95,"1,36M"
Intraco Penta,Saham,Tiggi,Rp13,-19.34,-9.52,-2.29,"172,4K"
Aneka Tambang Persero,Saham,Tiggi,Rp1.510,-13.02,-9.26,-38.49,"63,72M"
Nippon,Saham,Tiggi,Rp980,-18.88,-53.58,2.58,"186,7K"
Indorama Synthetics,Saham,Tiggi,Rp2.660,-17.87,-15.48,-44.26,"12,7K"
Indal Aluminium,Saham,Tiggi,Rp132,-13.11,-17.63,-17.87,"93,5K"
Multi Prima Sejahtera,Saham,Tiggi,Rp400,-0.98,-2.88,30.83,"125,2K"
Kokoh Inti Arebama,Saham,Tiggi,Rp69,-6.76,-9.21,-58.93,"127,1K"
Greenwood Sejahtera,Saham,Tiggi,Rp135,-3.68,-19.14,-35.78,"448,6K"
Gema Grahasarana,Saham,Tiggi,Rp242,-6.30,-12.50,-31.21,"21,6K"
Citra Marga,Saham,Tiggi,Rp1.415,-4.08,-9.03,2.92,"81,8K"
Adhi Karya Persero,Saham,Tiggi,Rp274,-11.41,-34.65,-74.14,"31,72M"
Bank Sinarmas,Saham,Tiggi,Rp775,-7.98,-15.25,-23.86,6K
Multi Indocitra,Saham,Tiggi,Rp515,9.21,-16.35,-22.32,"8,6K"
Dharma Samudera,Saham,Tiggi,Rp58,-12.31,-21.92,-49.11,"1,26M"
Agung Podomoro,Saham,Tiggi,Rp112,-20.59,-15.62,-21.17,"6,81M"
Bekasi Asri Pemula,Saham,Tiggi,Rp58,-9.68,-13.85,-25.33,"331,4K"
Gozco Plantations,Saham,Tiggi,Rp102,12.36,19.05,96.08,"5,19M"
Trias Sentosa,Saham,Tiggi,Rp498,0.00,-2.35,-16.3,"10,5K"
Elang Mahkota,Saham,Tiggi,Rp492,-3.37,-15.86,-75.84,"28,64M"
Martina Berto,Saham,Tiggi,Rp96,-5.46,-18.18,-19.28,"83,1K"
Bank Pembangunan,Saham,Tiggi,Rp955,-3.08,-16.00,-32.07,"638,2K"
Mitra Pinasthika,Saham,Tiggi,Rp995,-12.36,-37.60,-32.17,"2,77M"
Apexindo Pratama Duta,Saham,Tiggi,Rp138,-15.00,-35.24,-75.27,"1,08M"
Centratama Telekom,Saham,Tiggi,Rp45,-19.64,-30.77,-85,"100,6K"
Argha Karya Prima Ind,Saham,Tiggi,Rp610,-28.40,-13.57,-22.44,"16,6K"
Bank Woori Indonesia,Saham,Tiggi,Rp446,-4.76,-19.39,-29.03,251K
Garuda Indonesia,Saham,Tiggi,Rp56,-12.50,-35.63,-74.77,"7,27M"
Budi Starch & Sweetener,Saham,Tiggi,Rp228,-5.08,-8.20,24.44,"66,6K"
Gunawan Dianjaya Steel,Saham,Tiggi,Rp112,-15.20,-18.46,2.91,"1,88M"
Duta Pertiwi Nusantara,Saham,Tiggi,Rp336,-0.59,-30.29,-20.38,"1,8K"
Indoritel Makmur,Saham,Tiggi,Rp9.100,0.00,-8.76,-30.17,"7,6K"
Bank Mayapada,Saham,Tiggi,Rp204,-12.93,-10.73,-72.89,"653,1K"
BFI Finance,Saham,Tiggi,Rp950,-1.05,-15.25,-10.85,"23,84M"
Mnc Kapital Ind,Saham,Tiggi,Rp63,-7.14,-22.00,-32.76,"60,15M"
Asahimas Flat Glass,Saham,Tiggi,Rp4.620,-1.92,-21.37,-2.34,"10,5K"
Megapolitan Dev,Saham,Tiggi,Rp133,-8.54,-20.21,-69.54,"2,38M"
Arthavest,Saham,Tiggi,Rp2.350,-8.98,16.50,21.99,"40,3K"
Leyand International,Saham,Tiggi,Rp15,5.0,-6.48,41.26,0
Catur Sentosa,Saham,Tiggi,Rp468,-6.40,-27.44,-19.31,"2,6K"
Golden Eagle Energy,Saham,Tiggi,Rp715,-8.92,-43.03,264.8,"17,4K"
Bekasi Fajar,Saham,Tiggi,Rp108,-17.32,-24.46,-19.23,"4,46M"
Acset Indonusa,Saham,Tiggi,Rp112,-4.59,-38.82,-59.69,"8,38M"
Bank Rakyat Persero,Saham,Tiggi,Rp4.440,-13.23,-16.73,1.17,"298,73M"
Indo Tambangraya,Saham,Tiggi,Rp26.775,-5.66,-24.24,-9.09,"1,19M"
Reliance Securities,Saham,Tiggi,Rp458,-1.33,-9.76,-3.48,900
Global Mediacom,Saham,Tiggi,Rp202,-11.61,-23.85,-27.74,"32,97M"
Bank Rakyat,Saham,Tiggi,Rp238,-18.57,-8.80,-89.16,"12,2M"
Jaya Konstruksi,Saham,Tiggi,Rp93,-22.07,-36.16,-18.56,"7,8M"
Indofarma,Saham,Tiggi,Rp126,-10.42,-26.47,-40.86,0
Indopoly Swakarsa,Saham,Tiggi,Rp126,-19.69,-29.41,0.49,"12,9K"
Multi Agro Gemilang Plantation,Saham,Tiggi,Rp50,-6.43,-22.71,-27.27,0
Berlina,Saham,Tiggi,Rp715,10.00,-21.86,-41.87,300
Modern Internasional,Saham,Tiggi,Rp6,-22.58,-44.62,-78.31,"1,63M"
Eterindo Wahanatama,Saham,Tiggi,Rp77,0.00,-31.37,12.9,0
Buana Listya Tama,Saham,Tiggi,Rp113,-22.38,6.73,-56.98,"26,85M"
J Resources,Saham,Tiggi,Rp328,0.00,-28.00,-64.71,"234,65M"
Astrindo Nusantara Infrasruktur Tbk PT,Saham,Tiggi,Rp76,8.70,-33.04,41.51,"231,46M"
Matahari Putra Prima,Saham,Tiggi,Rp84,-15.22,-17.92,-68.37,"46,12M"
Bisi International,Saham,Tiggi,Rp1.140,-21.05,-27.42,11.39,"632,2K"
Pikko Land Development,Saham,Tiggi,Rp35,0.00,-32.69,-65,"137,7K"
Bank Pembangunan,Saham,Tiggi,Rp36,9.38,-30.00,-48.53,"7,02M"
Indo Straits,Saham,Tiggi,Rp242,-9.38,-45.02,-39.58,103K
AirAsia Indonesia Tbk PT,Saham,Tiggi,Rp89,1.19,-36.57,-53.8,"330,4K"
Hexindo Adiperkasa,Saham,Tiggi,Rp4.850,-6.25,-44.70,-67.57,"291,6K"
Ricky Putra Globalindo,Saham,Tiggi,Rp75,-10.71,-31.19,-20.21,"144,3K"
Bank Bukopin,Saham,Tiggi,Rp56,-12.90,-30.77,-84.01,"177,73M"
Clipan Finance,Saham,Tiggi,Rp332,-20.00,-32.23,22.39,"801,7K"
Asia Pacific Investama Tbk PT,Saham,Tiggi,Rp42,-11.11,-40.30,-56.04,"1,7K"
Provident Agro,Saham,Tiggi,Rp400,-5.71,-6.78,-17.15,"55,9K"
Gudang Garam,Saham,Tiggi,Rp13.300,-15.38,-39.93,-60.33,"320,9K"
Indika Energy,Saham,Tiggi,Rp1.430,-5.76,-35.78,-56.04,"4,24M"
Japfa Comfeed Indonesia,Saham,Tiggi,Rp1.740,-10.16,-26.28,-31.55,"6,84M"
Barito Pacific,Saham,Tiggi,Rp860,-17.24,-19.23,-17.3,"64,03M"
Bhuwanatala Indah,Saham,Tiggi,Rp31,6.90,-38.00,-42.59,300
Delta Djakarta,Saham,Tiggi,Rp2.140,-14.46,-39.66,-45.1,"23,7K"
Alkindo Naratama,Saham,Tiggi,Rp575,11.90,-24.49,-29.44,"36,2K"
Globe Kita Terang Tbk PT,Saham,Tiggi,Rp65,-4.41,-43.97,-68.75,500
Garda Tujuh Buana,Saham,Tiggi,Rp254,-13.38,-49.80,228,"173,2K"
Indomobil Sukses,Saham,Tiggi,Rp1.045,-16.75,-47.70,-66.46,550K
Electronic City Ind,Saham,Tiggi,Rp166,-36.51,-50.31,-82.98,"855,5K"
Hotel Mandarine Regency,Saham,Tiggi,Rp50,0.00,-57.64,-56.89,0
Malindo Feedmill,Saham,Tiggi,Rp795,-26.32,-60.00,-91.65,"3,54M"
Artha Mahiya Investama Tbk PT,Saham,Tiggi,Rp426,-33.44,30.00,-18.43,"3,03M"
Maskapai Reasuransi,Saham,Tiggi,Rp1.005,-1.00,-43.91,-74.81,1K
Fast Food Indonesia,Saham,Tiggi,Rp326,-28.32,-57.09,-67.6,"6,4K"
Eratex Djaja,Saham,Tiggi,Rp103,0.00,-75.72,-46.84,"1,7M"
Kmi Wire And Cable,Saham,Tiggi,Rp388,-15.86,-15.28,-74.69,"1,55M"
Alumindo,Saham,Tiggi,Rp76,-8.64,-62.81,-69.42,0
Sunson Textile,Saham,Tiggi,Rp190,11.76,-64.49,-77.78,100
Asia Pacific Fibers,Saham,Tiggi,Rp18,-14.29,-64.00,-70,"25,9K"
Sepatu Bata,Saham,Tiggi,Rp50,-12.28,-63.77,-90.1,"51,7K"
Pioneerindo Gourmet,Saham,Tiggi,Rp920,-10.00,-80.31,-81.33,"9,4K"
Pool Advista Indonesia,Saham,Tiggi,Rp13,-7.14,-74.00,-74,200
Bakrieland,Saham,Tiggi,Rp14,-13.33,-74.00,-74,"20,55M"
Island Concepts,Saham,Tiggi,Rp37,-18.75,-74.00,-90.37,"7,1K"
Indospring,Saham,Tiggi,Rp268,-3.64,-73.99,-65.51,974K
Jakarta Int Hotels & Dev,Saham,Tiggi,Rp1.165,-1.61,-77.24,-89.83,"4,64M"
Keramika Indonesia,Saham,Tiggi,Rp24,-76.60,-75.29,-57.36,"101,2K"
Asuransi Kresna Mitra,Saham,Tiggi,Rp12,-15.38,-78.00,-96.31,"2,05M"
Indofood Cbp,Saham,Tiggi,Rp11.925,0.00,-74.07,-94.66,"2,08M"
Inti Bangun Sejahtera,Saham,Tiggi,Rp5.050,0.00,-80.00,-80,100
Intiland Development,Saham,Tiggi,Rp172,-9.09,-80.00,-80,"10,92M"
Gowa Makassar,Saham,Tiggi,Rp3.800,-14.90,-76.48,-78.83,"10,3K"
Exploitasi Energi,Saham,Tiggi,Rp7,16.67,-86.00,-86,"793,1K"
Express Transindo,Saham,Tiggi,Rp7,40.00,-86.00,-86,"28,53M"
Langgeng Makmur,Saham,Tiggi,Rp105,-14.29,-88.00,-93.55,"129,7K"
Jamu dan Farmasi Sido,Saham,Tiggi,Rp590,-11.64,-90.41,-87.1,"6,69M"
Capitalinc Inv,Saham,Tiggi,Rp6,0.00,-90.00,-90,"20,36M"
Lippo Karawaci,Saham,Tiggi,Rp113,1.11,-91.91,-84.96,"37,17M"
Bumi Teknokultura,Saham,Tiggi,Rp4,0.00,-94.00,-94,"29,59M"